date,region,category,product,units,unit_price,discount,revenue,month
2024-06-24,North,Clothing,Jacket,4,24.81,0.13,86.33879999999999,2024-06-24
2024-07-04,East,Electronics,Laptop,9,421.55,0.1,3414.5550000000003,2024-07-04
2024-01-01,West,Groceries,Snacks,4,3.96,0.21,12.5136,2024-01-01
2024-11-08,North,Sports,Football,1,37.76,0.12,33.2288,2024-11-08
2024-02-08,North,Clothing,Sneakers,4,17.21,0.0,68.84,2024-02-08
2024-09-14,North,Electronics,Tablet,8,221.95,0.03,1722.3319999999999,2024-09-14
2024-11-13,West,Beauty,Perfume,1,11.13,0.0,11.13,2024-11-13
2024-03-08,West,Home & Kitchen,Mixer,4,58.5,0.16,196.56,2024-03-08
2024-05-03,East,Clothing,Jeans,2,22.47,0.23,34.6038,2024-05-03
2024-01-22,West,Home & Kitchen,Vacuum Cleaner,1,51.7,0.25,38.775000000000006,2024-01-22
2024-11-28,West,Beauty,Face Wash,6,13.84,0.26,61.4496,2024-11-28
2024-09-07,East,Home & Kitchen,Vacuum Cleaner,8,75.2,0.2,481.28000000000003,2024-09-07
2024-12-01,South,Electronics,Tablet,7,274.63,0.2,1537.9279999999999,2024-12-01
2024-05-15,South,Groceries,Beverages,6,5.14,0.0,30.839999999999996,2024-05-15
2024-07-09,East,Groceries,Rice,7,6.5,0.08,41.86,2024-07-09
2024-04-20,North,Clothing,Jeans,7,20.53,0.04,137.9616,2024-04-20
2024-02-19,East,Beauty,Shampoo,9,15.44,0.09,126.45360000000001,2024-02-19
2024-03-28,South,Beauty,Perfume,7,6.65,0.0,46.550000000000004,2024-03-28
2024-06-07,West,Beauty,Face Wash,4,13.32,0.15,45.288,2024-06-07
2024-03-17,South,Beauty,Perfume,6,11.08,0.2,53.184000000000005,2024-03-17
2024-02-05,South,Electronics,Laptop,8,383.68,0.08,2823.8848000000003,2024-02-05
2024-04-26,West,Sports,Yoga Mat,1,51.41,0.11,45.7549,2024-04-26
2024-09-26,South,Home & Kitchen,Mixer,1,60.06,0.1,54.054,2024-09-26
2024-06-10,South,Home & Kitchen,Vacuum Cleaner,3,56.54,0.12,149.2656,2024-06-10
2024-01-28,North,Electronics,Headphones,2,301.33,0.07,560.4738,2024-01-28
2024-06-25,West,Home & Kitchen,Mixer,6,50.84,0.11,271.48560000000003,2024-06-25
2024-11-13,East,Groceries,Rice,1,5.49,0.13,4.7763,2024-11-13
2024-11-10,East,Electronics,Tablet,4,176.06,0.25,528.1800000000001,2024-11-10
2024-02-19,East,Electronics,Laptop,5,334.12,0.03,1620.482,2024-02-19
2024-03-02,East,Beauty,Perfume,1,13.65,0.24,10.374,2024-03-02
2024-12-19,North,Beauty,Moisturizer,2,11.34,0.03,21.999599999999997,2024-12-19
2024-11-07,North,Home & Kitchen,Mixer,3,61.86,0.0,185.57999999999998,2024-11-07
2024-06-06,North,Groceries,Snacks,5,3.44,0.16,14.447999999999999,2024-06-06
2024-11-06,North,Sports,Cricket Bat,8,32.53,0.03,252.43280000000001,2024-11-06
2024-07-02,West,Groceries,Pulses,7,4.2,0.05,27.93,2024-07-02
2024-01-16,North,Electronics,Headphones,6,250.98,0.12,1325.1743999999999,2024-01-16
2024-02-03,South,Groceries,Beverages,5,5.88,0.03,28.517999999999997,2024-02-03
2024-07-18,South,Sports,Dumbbells,4,42.78,0.22,133.4736,2024-07-18
2024-08-15,East,Clothing,Jeans,9,36.56,0.12,289.5552,2024-08-15
2024-03-22,East,Electronics,Smartphone,9,314.63,0.04,2718.4031999999997,2024-03-22
2024-05-04,North,Groceries,Pulses,2,4.35,0.03,8.438999999999998,2024-05-04
2024-12-13,West,Home & Kitchen,Bedsheet,5,59.08,0.1,265.86,2024-12-13
2024-03-03,North,Clothing,Sneakers,1,16.58,0.18,13.5956,2024-03-03
2024-08-25,East,Beauty,Perfume,6,8.54,0.0,51.239999999999995,2024-08-25
2024-11-25,South,Clothing,T-Shirt,9,21.82,0.24,149.2488,2024-11-25
2024-07-16,West,Home & Kitchen,Mixer,3,69.17,0.12,182.6088,2024-07-16
2024-05-27,East,Beauty,Shampoo,8,10.88,0.13,75.7248,2024-05-27
2024-10-17,North,Clothing,Sneakers,3,24.03,0.15,61.2765,2024-10-17
2024-07-14,North,Electronics,Headphones,1,344.95,0.06,324.253,2024-07-14
2024-03-13,South,Beauty,Face Wash,5,9.5,0.1,42.75,2024-03-13
2024-02-19,North,Groceries,Snacks,3,4.81,0.1,12.987,2024-02-19
2024-01-01,North,Groceries,Beverages,8,3.5,0.23,21.560000000000002,2024-01-01
2024-08-02,West,Beauty,Perfume,9,6.99,0.07,58.506299999999996,2024-08-02
2024-12-27,East,Groceries,Snacks,9,3.86,0.22,27.0972,2024-12-27
2024-03-12,East,Electronics,Laptop,5,187.55,0.01,928.3725,2024-03-12
2024-08-03,East,Beauty,Face Wash,5,12.14,0.18,49.77400000000001,2024-08-03
2024-07-06,West,Electronics,Smartphone,8,243.42,0.14,1674.7296,2024-07-06
2024-03-30,East,Groceries,Pulses,7,6.24,0.17,36.2544,2024-03-30
2024-03-09,South,Electronics,Headphones,7,113.42,0.18,651.0308000000001,2024-03-09
2024-01-01,East,Clothing,Jacket,2,33.28,0.0,66.56,2024-01-01
2024-06-18,East,Groceries,Rice,8,4.84,0.19,31.363200000000003,2024-06-18
2024-07-26,South,Clothing,T-Shirt,2,27.18,0.09,49.467600000000004,2024-07-26
2024-02-12,West,Home & Kitchen,Mixer,5,57.8,0.04,277.44,2024-02-12
2024-07-08,West,Clothing,Jacket,8,31.41,0.02,246.2544,2024-07-08
2024-03-29,East,Home & Kitchen,Bedsheet,3,59.86,0.12,158.0304,2024-03-29
2024-02-22,South,Beauty,Shampoo,6,12.79,0.09,69.8334,2024-02-22
2024-09-05,West,Electronics,Tablet,9,168.72,0.08,1397.0016,2024-09-05
2024-02-14,South,Electronics,Smartphone,8,290.17,0.04,2228.5056,2024-02-14
2024-08-23,South,Electronics,Headphones,7,380.78,0.12,2345.6048,2024-08-23
2024-08-07,North,Groceries,Snacks,8,7.86,0.05,59.736,2024-08-07
2024-04-01,South,Groceries,Pulses,5,5.36,0.05,25.46,2024-04-01
2024-08-14,North,Sports,Dumbbells,6,40.94,0.14,211.25039999999998,2024-08-14
2024-03-06,South,Sports,Football,5,34.15,0.16,143.43,2024-03-06
2024-03-17,North,Electronics,Laptop,3,319.35,0.0,958.0500000000001,2024-03-17
2024-12-08,West,Sports,Cricket Bat,5,39.4,0.0,197.0,2024-12-08
2024-10-22,North,Home & Kitchen,Vacuum Cleaner,4,43.02,0.05,163.476,2024-10-22
2024-09-20,South,Electronics,Smartphone,3,311.72,0.14,804.2376,2024-09-20
2024-08-17,South,Electronics,Smartphone,6,252.02,0.07,1406.2716,2024-08-17
2024-08-09,West,Beauty,Shampoo,9,9.12,0.02,80.4384,2024-08-09
2024-10-08,South,Home & Kitchen,Mixer,1,67.52,0.18,55.3664,2024-10-08
2024-11-28,North,Electronics,Tablet,8,291.21,0.12,2050.1184,2024-11-28
2024-07-31,East,Home & Kitchen,Mixer,7,64.45,0.13,392.50050000000005,2024-07-31
2024-03-06,North,Groceries,Snacks,9,5.24,0.03,45.745200000000004,2024-03-06
2024-12-27,North,Clothing,Jeans,5,17.05,0.13,74.1675,2024-12-27
2024-07-10,South,Sports,Cricket Bat,7,52.4,0.0,366.8,2024-07-10
2024-04-30,South,Electronics,Smartphone,6,330.08,0.19,1604.1888000000001,2024-04-30
2024-05-04,East,Beauty,Moisturizer,2,8.37,0.23,12.8898,2024-05-04
2024-10-26,East,Home & Kitchen,Bedsheet,3,30.32,0.0,90.96000000000001,2024-10-26
2024-02-15,South,Electronics,Tablet,3,206.59,0.11,551.5953,2024-02-15
2024-07-21,West,Sports,Football,1,43.36,0.16,36.422399999999996,2024-07-21
2024-05-02,West,Home & Kitchen,Vacuum Cleaner,2,56.04,0.05,106.476,2024-05-02
2024-10-27,North,Electronics,Laptop,5,277.72,0.05,1319.17,2024-10-27
2024-12-18,West,Groceries,Beverages,8,6.09,0.15,41.412,2024-12-18
2024-03-29,East,Beauty,Face Wash,7,9.32,0.07,60.6732,2024-03-29
2024-04-22,South,Beauty,Moisturizer,1,15.62,0.03,15.151399999999999,2024-04-22
2024-06-08,South,Sports,Yoga Mat,7,39.35,0.04,264.43199999999996,2024-06-08
2024-02-01,West,Groceries,Pulses,6,4.57,0.16,23.0328,2024-02-01
2024-06-26,East,Electronics,Headphones,8,323.46,0.16,2173.6512,2024-06-26
2024-06-07,West,Home & Kitchen,Bedsheet,1,56.27,0.06,52.8938,2024-06-07
2024-09-15,East,Groceries,Rice,2,3.54,0.07,6.5844,2024-09-15
2024-07-09,West,Beauty,Shampoo,8,16.56,0.0,132.48,2024-07-09
2024-01-15,North,Clothing,Sneakers,8,13.88,0.11,98.82560000000001,2024-01-15
2024-12-15,East,Clothing,Jeans,9,23.78,0.0,214.02,2024-12-15
2024-01-20,South,Sports,Dumbbells,1,41.1,0.14,35.346000000000004,2024-01-20
2024-08-02,West,Electronics,Laptop,2,224.55,0.15,381.735,2024-08-02
2024-05-18,East,Groceries,Pulses,7,6.35,0.18,36.449,2024-05-18
2024-04-27,East,Sports,Dumbbells,9,35.45,0.09,290.3355,2024-04-27
2024-08-05,West,Clothing,Jacket,9,20.21,0.03,176.4333,2024-08-05
2024-01-11,South,Groceries,Beverages,1,3.9,0.13,3.393,2024-01-11
2024-10-14,North,Home & Kitchen,Cookware,9,60.26,0.11,482.68260000000004,2024-10-14
2024-03-03,North,Sports,Cricket Bat,4,27.69,0.14,95.2536,2024-03-03
2024-03-02,South,Beauty,Shampoo,3,11.44,0.02,33.6336,2024-03-02
2024-11-20,East,Sports,Yoga Mat,4,50.51,0.11,179.8156,2024-11-20
2024-08-13,West,Home & Kitchen,Mixer,7,92.06,0.14,554.2012000000001,2024-08-13
2024-07-18,South,Sports,Yoga Mat,4,31.64,0.0,126.56,2024-07-18
2024-02-06,West,Home & Kitchen,Cookware,3,69.21,0.09,188.9433,2024-02-06
2024-05-11,South,Clothing,T-Shirt,3,26.54,0.22,62.10360000000001,2024-05-11
2024-11-15,East,Clothing,T-Shirt,7,28.47,0.16,167.40359999999998,2024-11-15
2024-03-02,East,Groceries,Beverages,7,5.37,0.09,34.206900000000005,2024-03-02
2024-07-02,North,Beauty,Perfume,1,10.97,0.2,8.776000000000002,2024-07-02
2024-01-30,North,Sports,Football,2,52.59,0.01,104.1282,2024-01-30
2024-11-30,East,Electronics,Headphones,7,289.36,0.11,1802.7128,2024-11-30
2024-09-27,North,Beauty,Moisturizer,7,11.14,0.12,68.6224,2024-09-27
2024-04-13,North,Groceries,Beverages,4,5.57,0.0,22.28,2024-04-13
2024-09-29,South,Groceries,Snacks,9,6.48,0.13,50.738400000000006,2024-09-29
2024-02-01,South,Electronics,Smartphone,8,297.71,0.11,2119.6951999999997,2024-02-01
2024-06-20,South,Beauty,Shampoo,1,14.24,0.15,12.104,2024-06-20
2024-08-09,East,Groceries,Rice,4,3.3,0.11,11.748,2024-08-09
2024-08-26,West,Home & Kitchen,Bedsheet,7,61.74,0.04,414.89279999999997,2024-08-26
2024-03-26,South,Home & Kitchen,Bedsheet,8,45.82,0.19,296.91360000000003,2024-03-26
2024-12-21,East,Groceries,Beverages,1,5.51,0.14,4.7386,2024-12-21
2024-10-13,West,Home & Kitchen,Mixer,4,57.94,0.16,194.67839999999998,2024-10-13
2024-01-12,West,Sports,Cricket Bat,3,28.15,0.26,62.49299999999999,2024-01-12
2024-12-11,East,Beauty,Moisturizer,6,10.29,0.18,50.6268,2024-12-11
2024-10-30,North,Home & Kitchen,Vacuum Cleaner,9,73.94,0.09,605.5686000000001,2024-10-30
2024-04-13,North,Electronics,Smartphone,1,314.33,0.07,292.32689999999997,2024-04-13
2024-07-02,South,Electronics,Laptop,9,307.6,0.06,2602.296,2024-07-02
2024-10-31,East,Sports,Yoga Mat,9,53.76,0.0,483.84,2024-10-31
2024-08-07,South,Beauty,Shampoo,2,13.75,0.12,24.2,2024-08-07
2024-12-21,West,Groceries,Snacks,4,5.79,0.21,18.296400000000002,2024-12-21
2024-03-11,South,Beauty,Face Wash,9,14.87,0.09,121.78529999999999,2024-03-11
2024-06-05,South,Beauty,Perfume,9,15.08,0.11,120.7908,2024-06-05
2024-09-28,South,Clothing,Jeans,2,31.4,0.01,62.172,2024-09-28
2024-11-16,North,Sports,Dumbbells,1,39.07,0.0,39.07,2024-11-16
2024-08-13,West,Beauty,Shampoo,6,13.47,0.13,70.3134,2024-08-13
2024-12-19,East,Sports,Football,1,32.39,0.11,28.8271,2024-12-19
2024-11-28,East,Home & Kitchen,Cookware,5,57.78,0.21,228.231,2024-11-28
2024-05-14,West,Sports,Football,2,42.23,0.09,76.8586,2024-05-14
2024-02-18,East,Groceries,Pulses,6,5.72,0.02,33.6336,2024-02-18
2024-06-06,East,Home & Kitchen,Vacuum Cleaner,5,67.27,0.11,299.3515,2024-06-06
2024-03-21,South,Electronics,Laptop,8,245.3,0.21,1550.296,2024-03-21
2024-09-07,East,Clothing,T-Shirt,3,14.89,0.07,41.543099999999995,2024-09-07
2024-07-13,North,Sports,Dumbbells,9,46.7,0.01,416.097,2024-07-13
2024-05-02,East,Clothing,Sneakers,8,25.87,0.15,175.916,2024-05-02
2024-10-20,West,Sports,Yoga Mat,9,50.21,0.14,388.62539999999996,2024-10-20
2024-03-26,North,Home & Kitchen,Bedsheet,7,72.04,0.14,433.68080000000003,2024-03-26
2024-09-21,East,Sports,Yoga Mat,8,35.26,0.03,273.6176,2024-09-21
2024-11-12,East,Beauty,Moisturizer,1,11.32,0.0,11.32,2024-11-12
2024-07-31,North,Groceries,Pulses,9,5.03,0.22,35.3106,2024-07-31
2024-05-28,West,Electronics,Smartphone,1,231.1,0.08,212.612,2024-05-28
2024-04-29,West,Groceries,Rice,8,4.31,0.15,29.307999999999996,2024-04-29
2024-09-21,East,Home & Kitchen,Mixer,8,52.08,0.06,391.6416,2024-09-21
2024-06-14,East,Beauty,Shampoo,2,11.28,0.05,21.432,2024-06-14
2024-09-15,East,Sports,Yoga Mat,7,52.19,0.01,361.6767,2024-09-15
2024-04-07,East,Beauty,Perfume,9,9.45,0.32,57.833999999999996,2024-04-07
2024-07-26,North,Sports,Football,8,37.91,0.01,300.24719999999996,2024-07-26
2024-09-09,West,Sports,Football,9,39.3,0.18,290.034,2024-09-09
2024-11-03,East,Groceries,Rice,2,4.49,0.23,6.9146,2024-11-03
2024-04-30,East,Electronics,Smartphone,3,325.74,0.16,820.8648,2024-04-30
2024-11-02,East,Beauty,Shampoo,5,12.83,0.14,55.169000000000004,2024-11-02
2024-02-16,East,Beauty,Face Wash,5,12.46,0.08,57.31600000000001,2024-02-16
2024-08-06,South,Groceries,Pulses,3,3.97,0.2,9.528,2024-08-06
2024-12-14,South,Beauty,Perfume,9,14.7,0.02,129.65399999999997,2024-12-14
2024-01-20,South,Electronics,Laptop,3,261.22,0.07,728.8038,2024-01-20
2024-09-13,South,Electronics,Headphones,9,243.07,0.08,2012.6196000000002,2024-09-13
2024-02-04,North,Beauty,Perfume,1,12.64,0.07,11.7552,2024-02-04
2024-08-02,South,Clothing,Jeans,5,25.5,0.0,127.5,2024-08-02
2024-05-31,West,Clothing,Sneakers,8,27.74,0.18,181.9744,2024-05-31
2024-06-08,North,Beauty,Perfume,5,14.07,0.06,66.12899999999999,2024-06-08
2024-12-18,South,Sports,Cricket Bat,9,31.11,0.16,235.1916,2024-12-18
2024-03-16,East,Sports,Yoga Mat,9,42.45,0.11,340.0245,2024-03-16
2024-11-17,West,Sports,Football,3,39.98,0.0,119.94,2024-11-17
2024-01-28,South,Electronics,Laptop,3,304.36,0.16,766.9872,2024-01-28
2024-03-06,North,Groceries,Pulses,6,5.86,0.15,29.886000000000003,2024-03-06
2024-04-23,East,Beauty,Shampoo,7,12.02,0.22,65.6292,2024-04-23
2024-10-03,North,Sports,Yoga Mat,6,54.52,0.14,281.3232,2024-10-03
2024-12-14,South,Electronics,Headphones,2,302.08,0.14,519.5776,2024-12-14
2024-04-24,West,Clothing,Jacket,9,23.45,0.0,211.04999999999998,2024-04-24
2024-01-25,South,Home & Kitchen,Mixer,7,79.22,0.16,465.81359999999995,2024-01-25
2024-03-14,North,Sports,Dumbbells,7,40.92,0.1,257.796,2024-03-14
2024-09-22,West,Beauty,Shampoo,1,10.26,0.05,9.747,2024-09-22
2024-05-27,North,Clothing,Jacket,7,26.69,0.06,175.6202,2024-05-27
2024-09-15,North,Electronics,Headphones,1,375.02,0.16,315.0168,2024-09-15
2024-05-31,West,Sports,Dumbbells,2,30.26,0.04,58.0992,2024-05-31
2024-10-03,South,Clothing,Jeans,6,21.65,0.07,120.80699999999997,2024-10-03
2024-10-30,East,Groceries,Pulses,4,4.86,0.06,18.273600000000002,2024-10-30
