order_id,date,region,category,product,units,unit_price,discount
591858,2024-06-04,South , Beauty,Vacuum Cleaner,24,65.43,0.32
802640,2024-03-10,South ,SPORTS,laptop,2,45.94,0.06
353456,2024-12-19,north,electronics,Rice,7,54.3,0.52
356742,2024-10-17,north,electronics,Vacuum Cleaner,7,53.7,0.47
788994,2024-07-04,north,SPORTS,Smartphone ,24,59.78,0.11
843156,2024-05-09,EAST,CLOTHING,Vacuum Cleaner,11,60.36,0.39
952121,2024-12-18,EAST,SPORTS,Cricket Bat ,2,17.59,0.33
911756,2024-08-04,north, Beauty,Vacuum Cleaner,18,50.12,-0.03
267866,2024-03-01,EAST,CLOTHING,laptop,13,37.78,0.45
444035,2024-12-20,west ,CLOTHING,Cricket Bat ,12,38.8,0.47
944698,2024-10-09,South ,Groceries ,Vacuum Cleaner,13,30.47,0.44
768916,2024-07-11,west , Beauty,Vacuum Cleaner,0,35.89,0.45
811294,2024-05-21,north,home & kitchen,laptop,18,39.89,0.55
683618,2024-07-03,north,home & kitchen, T-Shirt,24,39.08,0.55
426574,2024-11-21,South ,Groceries ,Rice,14,,0.22
150614,2024-08-04,EAST,home & kitchen,Vacuum Cleaner,0,50.35,0.48
544645,2024-05-21,EAST,SPORTS,Cricket Bat ,17,57.91,0.1
505453,2024-11-14,South ,Groceries ,Smartphone ,-1,39.74,0.44
165098,2024-09-14,north,Groceries ,Vacuum Cleaner,4,36.34,0.23
634345,2024-12-01,west , Beauty,Cricket Bat ,16,30.6,0.19
301547,2024-07-03,north,CLOTHING,Vacuum Cleaner,22,,0.56
570836,2024-06-28,South ,electronics,Cricket Bat ,24,29.65,-0.0
229794,2024-06-18,west ,home & kitchen,Smartphone ,0,60.64,0.52
799552,2024-02-29,EAST,CLOTHING, T-Shirt,11,59.4,0.16
356915,2024-10-20,EAST,CLOTHING,laptop,17,61.23,0.55
646965,2024-04-11,west ,home & kitchen,Cricket Bat ,3,30.98,0.28
773171,2024-09-05,EAST,home & kitchen,Vacuum Cleaner,21,37.73,0.4
320299,2024-09-03,north,SPORTS,Rice,3,,0.55
869494,2024-03-31,north, Beauty,Cricket Bat ,1,79.03,-0.03
789141,2024-03-02,EAST,SPORTS,Rice,15,58.66,0.5
857761,2024-12-19,west ,Groceries ,Rice,19,59.52,0.58
348466,2024-05-20,South ,CLOTHING,Smartphone ,14,50.16,0.27
826296,2024-11-28,west ,CLOTHING,Smartphone ,11,37.99,0.38
454716,2024-04-16,west ,CLOTHING,Rice,17,49.66,0.36
681643,2024-04-27,north,CLOTHING,Smartphone ,-2,68.07,0.54
