order_id,date,region,category,product,units,unit_price,discount,revenue
591858,2024-06-04,South , Beauty,Vacuum Cleaner,24,65.43,0.32,1067.8176
802640,2024-03-10,South ,SPORTS,laptop,2,45.94,0.06,86.3672
353456,2024-12-19,north,electronics,Rice,7,54.3,0.52,182.44799999999998
356742,2024-10-17,north,electronics,Vacuum Cleaner,7,53.7,0.47,199.22700000000003
788994,2024-07-04,north,SPORTS,Smartphone ,24,59.78,0.11,1276.9008000000001
843156,2024-05-09,EAST,CLOTHING,Vacuum Cleaner,11,60.36,0.39,405.0156
952121,2024-12-18,EAST,SPORTS,Cricket Bat ,2,17.59,0.33,23.5706
911756,2024-08-04,north, Beauty,Vacuum Cleaner,18,50.12,-0.03,902.16
267866,2024-03-01,EAST,CLOTHING,laptop,13,37.78,0.45,270.127
444035,2024-12-20,west ,CLOTHING,Cricket Bat ,12,38.8,0.47,246.768
944698,2024-10-09,South ,Groceries ,Vacuum Cleaner,13,30.47,0.44,221.82160000000002
768916,2024-07-11,west , Beauty,Vacuum Cleaner,0,35.89,0.45,0.0
811294,2024-05-21,north,home & kitchen,laptop,18,39.89,0.55,323.109
683618,2024-07-03,north,home & kitchen, T-Shirt,24,39.08,0.55,422.06399999999996
426574,2024-11-21,South ,Groceries ,Rice,14,,0.22,538.2468
150614,2024-08-04,EAST,home & kitchen,Vacuum Cleaner,0,50.35,0.48,0.0
544645,2024-05-21,EAST,SPORTS,Cricket Bat ,17,57.91,0.1,886.0229999999999
505453,2024-11-14,South ,Groceries ,Smartphone ,-1,39.74,0.44,0.0
165098,2024-09-14,north,Groceries ,Vacuum Cleaner,4,36.34,0.23,111.92720000000001
634345,2024-12-01,west , Beauty,Cricket Bat ,16,30.6,0.19,396.576
301547,2024-07-03,north,CLOTHING,Vacuum Cleaner,22,,0.56,477.1271999999999
570836,2024-06-28,South ,electronics,Cricket Bat ,24,29.65,-0.0,711.5999999999999
229794,2024-06-18,west ,home & kitchen,Smartphone ,0,60.64,0.52,0.0
799552,2024-02-29,EAST,CLOTHING, T-Shirt,11,59.4,0.16,548.856
356915,2024-10-20,EAST,CLOTHING,laptop,17,61.23,0.55,468.40949999999987
